Instrument,Date,GICS Industry Group Name,Earnings Per Share - Actual Surprise,Earnings Per Share - Actual Surprise AbsVals
DLR.N,2019-01-01,Real Estate,-47.97627718239517,47.97627718239517
DLR.N,2019-04-01,Real Estate,70.37037037037037,70.37037037037037
DLR.N,2019-07-01,Real Estate,-45.07104145305405,45.07104145305405
DLR.N,2019-10-01,Real Estate,-18.11109594649925,18.11109594649925
DLR.N,2020-01-01,Real Estate,104.63847203274216,104.63847203274216
DLR.N,2020-04-01,Real Estate,94.4978713288527,94.4978713288527
DLR.N,2020-07-01,Real Estate,-43.71429375510088,43.71429375510088
DLR.N,2020-10-01,Real Estate,-47.41784037558684,47.41784037558684
DLR.N,2021-01-01,Real Estate,-38.46153846153847,38.46153846153847
DLR.N,2021-04-01,Real Estate,358.5562426179393,358.5562426179393
DLR.N,2021-07-01,Real Estate,99.26493379976088,99.26493379976088
DLR.N,2021-10-01,Real Estate,77.51956749778101,77.51956749778101
DLR.N,2022-04-01,Real Estate,-20.18285382578093,20.18285382578093
DLR.N,2022-07-01,Real Estate,-33.72170091045452,33.72170091045452
DLR.N,2022-10-01,Real Estate,137.80081803481403,137.80081803481403
LMT.N,2013-01-01,Capital Goods,4.887424492037341,4.887424492037341
LMT.N,2013-04-01,Capital Goods,14.327772325809631,14.327772325809631
LMT.N,2013-07-01,Capital Goods,19.858349223644797,19.858349223644797
LMT.N,2013-10-01,Capital Goods,13.576602336054163,13.576602336054163
LMT.N,2014-01-01,Capital Goods,4.502843092054714,4.502843092054714
LMT.N,2014-04-01,Capital Goods,13.29096435479414,13.29096435479414
LMT.N,2014-07-01,Capital Goods,3.750037590593324,3.750037590593324
LMT.N,2014-10-01,Capital Goods,1.7807951440235024,1.7807951440235024
LMT.N,2015-01-01,Capital Goods,5.737581103534999,5.737581103534999
LMT.N,2015-04-01,Capital Goods,9.574140502841344,9.574140502841344
LMT.N,2015-07-01,Capital Goods,10.381077529566358,10.381077529566358
LMT.N,2015-10-01,Capital Goods,4.369172874304969,4.369172874304969
LMT.N,2016-01-01,Capital Goods,-2.393900128894457,2.393900128894457
LMT.N,2016-04-01,Capital Goods,-0.4160909069855414,0.4160909069855414
LMT.N,2016-07-01,Capital Goods,12.093447659536649,12.093447659536649
LMT.N,2016-10-01,Capital Goods,13.751395802677846,13.751395802677846
LMT.N,2017-01-01,Capital Goods,6.396561263139981,6.396561263139981
LMT.N,2017-04-01,Capital Goods,7.520715657883412,7.520715657883412
LMT.N,2017-07-01,Capital Goods,3.810454323400098,3.810454323400098
LMT.N,2017-10-01,Capital Goods,-0.628737923631337,0.628737923631337
LMT.N,2018-01-01,Capital Goods,-4.802200126930399,4.802200126930399
LMT.N,2018-04-01,Capital Goods,18.378392704121733,18.378392704121733
LMT.N,2018-07-01,Capital Goods,9.85257834961156,9.85257834961156
LMT.N,2018-10-01,Capital Goods,19.34365632741954,19.34365632741954
LMT.N,2019-01-01,Capital Goods,-0.2379291302974601,0.2379291302974601
LMT.N,2019-04-01,Capital Goods,31.950729183218087,31.950729183218087
LMT.N,2019-07-01,Capital Goods,4.776553521959075,4.776553521959075
